Id,Designator,Package,Quantity,Designation,Supplier and ref,Notes
1,U4,MAX9814_Breakout,1,MAX9814_Breakout,PTC051LFBN-RC? ,
2,J4,None,0,None,None,None
3,"J7,J6,J8,J9",None,0,None,None,None
4,C1,C_0805_2012Metric,1,0.1uF,885012207072,
5,R13,R_0805_2012Metric,1,10k,CRCW080510K0FKEAC,
6,R12,R_0805_2012Metric,1,100k,CRCW0805100KFKEAC,
7,U2,MicroSDCardAdapter,1,MicroSDCardAdaptor,PPPC061LGBN-RC ,
8,U1,NODEMCU-32S_ESP32,1,NodeMCU-32S,2 x ?PPTC151LFBN-RC?,2 separate parts are needed for this device
9,U3,LSM6DS3_Breakout,1,LSM6DS3_Breakout,"1 x ?PPTC051LFBN-RC?
?1 x PPTC071LFBN-RC",2 separate parts are needed for this device
10,"D1,D2",D_0805_2012Metric,2,LEDO,L171L-QOC ,
11,D5,D_0805_2012Metric,1,LEDG,L171L-GC ,
12,"J1,J5",PinSocket_2x08_P2.54mm_Vertical,2,Conn_02x08_Odd_Even,ESQ-108-12-L-D ,
13,"J2,J3",None,0,None,None,None
14,R1,R_0805_2012Metric,1,1k5,CRCW08051K50FKEAC,
15,"R2,R10",R_0805_2012Metric,2,3k3,CRCW08053K30FKEAC,
16,"R5,R3,R4,R11",R_0805_2012Metric,4,1k,CRCW08051K00JNEAC,
17,BZ1,Buzzer_12x9.5RM7.6,1,Buzzer,2056-MB12-5V-ND,
18,"D3,D10",D_0805_2012Metric,2,LEDR,L171L-LIC ,
19,D4,D_0805_2012Metric,1,LEDY,L171L-YC ,
20,"JP1,JP2",PinHeader_1x03_P2.54mm_Vertical,2,Jumper_NC_Dual,75160-156-03LF ,
21,Q1,SOT-23_Handsoldering,1,Q_NMOS_GSD,DMN2075U-7 ,
22,S1,MJTP1243,1,MJTP1243,MJTP1243 ,
23,J10,500SSP1S2M2QEA,1,500SSP1S2M2QEA,500SSP1S2M2QEA ,
